fips,county,state,drive_time_min,drive_time_advanced,nearest_stroke_distance,nearest_stroke_distance_advanced
34023,Middlesex,New Jersey,19.93166666666667,18.666333333333334,3.918712736009064,3.423351394273404
34025,Monmouth,New Jersey,17.4295,19.621666666666666,6.239976610556446,8.187651547005911
34027,Morris,New Jersey,12.674166666666668,14.252,3.12353673319119,4.413762778945486
34029,Ocean,New Jersey,8.495833333333334,31.389333333333333,1.0102365531257143,18.408023961421826
34031,Passaic,New Jersey,7.800166666666667,5.975833333333333,1.7490993843284672,1.9068829954785562
34033,Salem,New Jersey,12.778333333333334,37.19216666666667,3.138630939441012,18.24995908139444
34035,Somerset,New Jersey,6.037000000000001,21.153333333333332,1.0368726298086894,7.996670043042766
34037,Sussex,New Jersey,16.310666666666666,46.852,6.339927196257065,22.215399734905944
34039,Union,New Jersey,13.000833333333333,18.790333333333333,3.192474748460984,4.852470519757338
34041,Warren,New Jersey,28.214499999999997,67.39316666666667,10.692608947475607,27.97161097099469
