town_name,town_fips_2020,county_fips,county_name,town_fips_2022,region_fips,region_name
Union,0901377830,09013,Tolland County,0915077830,09150,Northeastern Connecticut Planning Region
Vernon,0901378250,09013,Tolland County,0911078250,09110,Capitol Planning Region
Voluntown,0901178600,09011,New London County,0915078600,09150,Northeastern Connecticut Planning Region
Wallingford,0900978740,09009,New Haven County,0917078740,09170,South Central Connecticut Planning Region
Warren,0900579510,09005,Litchfield County,0916079510,09160,Northwest Hills Planning Region
Washington,0900579720,09005,Litchfield County,0916079720,09160,Northwest Hills Planning Region
Waterbury,0900980070,09009,New Haven County,0914080070,09140,Naugatuck Valley Planning Region
Waterford,0901180280,09011,New London County,0918080280,09180,Southeastern Connecticut Planning Region
Watertown,0900580490,09005,Litchfield County,0914080490,09140,Naugatuck Valley Planning Region
West Hartford,0900382590,09003,Hartford County,0911082590,09110,Capitol Planning Region
West Haven,0900982870,09009,New Haven County,0917082870,09170,South Central Connecticut Planning Region
Westbrook,0900781680,09007,Middlesex County,0913081680,09130,Lower Connecticut River Valley Planning Region
Weston,0900183430,09001,Fairfield County,0919083430,09190,Western Connecticut Planning Region
Westport,0900183500,09001,Fairfield County,0919083500,09190,Western Connecticut Planning Region
Wethersfield,0900384900,09003,Hartford County,0911084900,09110,Capitol Planning Region
Willington,0901385950,09013,Tolland County,0911085950,09110,Capitol Planning Region
Wilton,0900186370,09001,Fairfield County,0919086370,09190,Western Connecticut Planning Region
Winchester,0900586440,09005,Litchfield County,0916086440,09160,Northwest Hills Planning Region
Windham,0901586790,09015,Windham County,0918086790,09180,Southeastern Connecticut Planning Region
Windsor,0900387000,09003,Hartford County,0911087000,09110,Capitol Planning Region
Windsor Locks,0900387070,09003,Hartford County,0911087070,09110,Capitol Planning Region
Wolcott,0900987560,09009,New Haven County,0914087560,09140,Naugatuck Valley Planning Region
Woodbridge,0900987700,09009,New Haven County,0917087700,09170,South Central Connecticut Planning Region
Woodbury,0900587910,09005,Litchfield County,0914087910,09140,Naugatuck Valley Planning Region
Woodstock,0901588190,09015,Windham County,0915088190,09150,Northeastern Connecticut Planning Region
